
1059,7402,479,7
1961,-9038,-9654,-19
1168,4887,-1602,3
1988,6825,-7230,-1
1924,9004,6548,15
1300,3112,1451,4
1710,-8201,-5996,-15
1319,-1820,7338,5
1700,-7434,3326,-5
1140,3879,-7604,-4
1931,8213,8438,16
1210,4016,-6478,-3
1131,7425,-5503,1
1007,7862,-2971,4
1983,2794,8170,10
1971,-7869,5136,-3
1263,1859,-1490,0
1340,5073,7343,12
1430,9517,-5434,4
1411,-2073,-4099,-7
1237,7850,-8362,-1
1534,-788,4705,3
1097,-5052,-9086,-15
1897,182,3331,3
1527,8808,-241,8
1287,4342,9225,13
1323,-4302,-7659,-12
1267,954,-5714,-5
1593,7284,1701,8
1322,-6295,-9655,-16
1741,9000,4035,13
1933,7516,3113,10
1957,-2748,8316,5
1540,-1258,-9320,-11
1187,-1560,-7277,-9
1012,-620,6370,5
1803,-6333,-668,-8
1397,-7954,6656,-2
1845,1157,9793,10
1361,7690,4847,12
1930,6516,-3779,2
1587,-8142,-6209,-15
1354,-2960,5456,2
1588,3255,-4594,-2
1941,-3615,9113,5
1228,4602,1473,6
1165,-1912,4924,3
1294,-4034,-44,-5
1081,-3736,4132,0
1882,-310,59,-1
1558,-2517,-1146,-4
1837,-4407,-3286,-8
1553,-9392,-2431,-12
1105,-5769,9163,3
1834,7088,488,7
1836,-6913,1906,-6
1384,4884,-2871,2
1131,7933,-9983,-3
1605,-9890,3745,-7
1044,8890,-1250,7
1574,-3844,872,-3
1881,1297,3147,4
1685,-3134,2507,-1
1162,4727,9836,14
1723,-4321,5973,1
1727,-5226,-8456,-14
1671,-1111,-2317,-4
1991,6724,-2288,4
1141,2276,-288,1
1512,-316,9647,9
1842,4213,-319,3
1706,9466,7668,17
1200,2061,-7924,-6
1775,-4089,-9108,-14
1476,7199,-774,6
1678,9797,-2319,7
1460,-3249,-7772,-12
1503,-9518,-4404,-14
1281,659,2634,3
1062,2202,-5017,-3
1868,-5374,-1103,-7
1169,-4395,-3781,-9
1493,5795,-8561,-3
1059,2302,-3340,-2
1495,7195,6509,13
1294,-2001,4006,2
1315,4700,-1476,3
1382,-8153,5754,-3
1431,3110,131,3
1965,-212,595,0
1927,8678,-9222,-1
1207,-5187,-6101,-12
1919,-1232,-2936,-5
1608,-7412,3503,-4
1752,5468,6203,11
1793,22,-3726,-4
1501,-9560,8138,-2
1683,6735,-76,6
1498,5174,6753,11
1724,318,-3717,-4
1662,-5726,-2079,-8
1273,6175,8311,14
1201,-5576,-8073,-14
1887,-7888,-7464,-16
1386,1623,5983,7
1521,2951,-4365,-2
1041,9287,-3275,6
1109,2464,-6285,-4
1105,-5676,2807,-3
1114,-7992,-1693,-10
1295,-6205,-6770,-13
1267,884,-2624,-2
1004,-4703,-4764,-10
1791,2557,7640,10
1296,-8404,5202,-4
1835,-1536,-6400,-8
1572,-4798,-2360,-8
1288,1891,-981,0
1082,291,-2178,-2
1996,8830,5926,14
1592,-1640,8741,7
1569,-1416,7759,6
1847,4676,3234,7
1886,-636,-7448,-9
1568,2877,-7970,-6
